1,aerialway
2,aeroway
3,amenity
4,barrier
5,building
6,busway
7,craft
8,cycleway
9,emergency
10,footway
11,geological
12,boundary
13,highway
14,historic
15,landuse
16,leisure
17,lifeguard
18,man_made
19,military
20,natural
21,oneway
22,place
23,power
24,public_transport
25,railway
26,route
27,sidewalk
28,sport
29,surface
30,telecom
31,tourism
32,water
33,waterway
